[0000053B] "OK"
[0000269D] " cm"
[00005B60] "Top"
[00006B69] "dpi"
[0004353F] "Do you want to remove the page from the project?"
[0004D300] "Flip"
[0004E654] "Good"
[0004EFD8] "High"
[00052BD4] "Left"
[00055645] "None"
[000567D5] "Page"
[000598C5] "Save"
[0009A79E] "Creating the PDF document."
[0018A523] "Stretch the image while keeping its proportions"
[001C99C7] "Print Preview"
[001D0B21] "Version: %1"
[001EE774] "Opening gzip for both reading and writing is not supported"
[002177EE] "Creating the Word document."
[0026AB9E] " deg."
[002AEC30] "&Help"
[002B8C04] "&Quit"
[002BAB60] "&Stop"
[00309744] "Turn &Left"
[0030BF7E] "Couldn't split the page."
[003EA2A3] "Common Options"
[004A6362] "Color"
[004E5125] "Destination Image"
[004E657A] "Good:"
[004EFDBA] "High:"
[00528AC2] "Later"
[00547EE0] "Move to &Top"
[00565C23] "File-Saving Settings"
[00567DC3] "Pages"
[0058B7B9] "Ready"
[0058FDF4] "Right"
[005F0D9E] "Recovering..."
[0069CE9E] "Couldn't read the project file."
[006DF245] "Auto-crop the page"
[00734164] "&Turn Right"
[007AED74] "Export to Microsoft Word"
[008641FE] "Create a Microsoft Word document (docx)."
[008A7306] "Save to &PDF"
[00A83CEE] "Error creating the DjVu file. Couldn't save %1. The file is open in another program, or you have insufficient privileges to write to the folder."
[00E9E9AE] "Couldn't find any scanners.<br>Please connect the scanner."
[00EA4D9A] "Paper Source:"
[00EC55D5] "Go to the ScanPapyrus homepage"
[010B7434] "Save the Project"
[010CA83E] "Please enter a file name."
[0151EB3E] "A new project has been started."
[01566D94] "Open a Project"
[015C5C2E] "You can replace the page in the scanner.<br>Press <b>ENTER</b> to start scanning immediately, without waiting."
[016BD5A5] "Rotate the image 90 degrees counterclockwise"
[016F9E4E] "File write error."
[017A8DC5] "Black & White"
[017D3A95] "&Center on the page"
[0181BC64] "&Open the newly created PDF document"
[0181F064] "Save the current project"
[0183CEF5] "Extract from &DjVu"
[01949905] "Rotate the image 90 degrees clockwise"
[01AC7CA7] "Auto Cropping"
[01B4FDBE] "File seek error."
[01B5F10E] "File read error."
[01B817C3] "UNREGISTERED COPY OF SCANPAPYRUS"
[01C889F1] "You can order the registered version online, by phone, or by e-mail. Immediate online delivery is available at %1"
[01CCDF9E] "Extract images from a PDF file."
[01D1CC71] "Couldn't load the file. The file format is invalid.<br>%1"
[01D56144] "Brightness / Contrast"
[01E21A6A] "&Orientation:"
[01EF8E4E] "Extracting images from the DjVu file."
[020B926E] "Splitting %1 of %2..."
[020F28FE] "The scanner is warming up."
[020FB0AE] "Invalid or incompatible zip archive."
[02182296] "Extract from &PDF"
[0226B91E] "Saving the Word document."
[023D580E] "Mark all pages in the project."
[023D5FCE] "Unmark all pages in the project."
[0244E233] "Rotate the image 180 degrees"
[02567AD9] "Scan the first page immediately (without waiting)"
[026678DE] "Zoom the image out."
[0266E4D5] "&Flip Image"
[02718E0E] "Splitting into pages..."
[027A0B33] "&About ScanPapyrus"
[0283E31E] "Adjust the image brightness/contrast."
[02B79054] "&Print"
[02CE5554] "Rotate Right"
[02D80BAE] "The serial number to be used for activation has been sent to your e-mail address. Please copy that number from the registration e-mail message and paste it to the <b>Serial number</b> field."
[02DB372E] "Thank you for trying ScanPapyrus!<br>This is a fully functional unregistered version intended for evaluation purposes only. The registered version does not display this notice."
[02E1B1CE] "After registration, you will receive your serial number by e-mail.<br>Please copy that number to this field and activate ScanPapyrus."
[02E276BA] "DjVu &Compression:"
[02EAFF45] "Source Image"
[02EFFB1F] "Do you want to remove all marked pages from the document?"
[030724E1] "Unregistered copy!"
[030EF13E] "Scan &Now >"
[032797C3] "Quick &Settings"
[0340A3FE] "Save the scanned pages to a folder."
[0341CAA3] "&Deskew scanned pages"
[035BF7EA] "File Prefix:"
[035EBB1E] "Couldn't save the file to %1."
[0388E003] "Margins"
[03891B2A] "Marked:"
[03891EF7] "&Marking"
[038A7CEB] "All Image Files (*.png *.jpeg *.jpg *.bmp *.tiff *.tif);;Bitmaps (*.bmp);;TIFF Image File (*.tiff *.tif);;JPEG Image File (*.jpeg *.jpg);;PNG Image File (*.png);;"
[039082AE] "Can't save multipage TIFF to %1."
[0399403F] "The current project hasn't been saved yet.\n\nDo you want to save the project?"
[039C503E] "The project is empty. Please scan something."
[03A493FA] "Contact e-mail:"
[03AC0523] "&Check for updates"
[03ADA74E] "ZIP operation completed successfully."
[03AFAE2E] "Create a DjVu file (djvu)."
[03C80E34] "Split the book spread"
[03D6518E] "Creating the DjVu file."
[03ECFF8E] "Unknown error."
[03FAB2DA] "Middle:"
[03FB7943] "ScanPapyrus Updates"
[03FFAE65] "Could not gzopen() file"
[041A39EA] "Color Mode:"
[041CA38E] "Saving the DjVu file."
[0420F74A] "Order page:"
[04245CA3] "Split the book spread into two pages"
[043930BD] "Unregistered copy of ScanPapyrus\nscanpapyrus.com"
[043F91F3] "&ScanPapyrus"
[044ACC2E] "&Composition"
[044E237E] "Rotate the image 180 degrees."
[045A573A] "Web Site:"
[04618D05] "&Append pages to an existing file"
[04665B6A] "Set the time period in seconds:"
[046C8BFE] "Please select an existing PDF file."
[047762B5] "One page"
[04799C74] "Accept"
[0486EFFE] "The trial period has expired.<br>Please register ScanPapyrus."
[04901532] "Select a folder"
[0496BB5D] "Bottom"
[049849BC] "Cancel"
